Project,Country,Company,Year,Source,Link
M’Boundi,Congo,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf
CI-26 Espoir,Côte d’Ivoire,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf
Ceiba,Equatorial Guinea,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf
Okume Complex,Equatorial Guinea,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf
Echira,Gabon,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf
Etame,Gabon,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf
Limande,Gabon,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf
Niungo,Gabon,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf
Tchatamba,Gabon,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf
Turnix,Gabon,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf
Oba,Gabon,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf
Obangue,Gabon,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf
Onal,Gabon,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf
Tsiengui,Gabon,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf
Jubilee,Ghana,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf
Block 1,Mauritania,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf
Block C-3,Mauritania,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf
Block C-6,Mauritania,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf
PSC B (Chinguetti EEA),Mauritania,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf
Corporate,Mauritania,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf
South Omo,Ethiopia,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf
Production Licence 003,Namibia,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf
Block 9,Bangladesh,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf
Ketch,UK,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf
Schooner,UK,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf
Corporate,UK,Tullow,2013,Tullow 2013 CR Report,http://www.tullowoil.com/files/pdf/reports/TLW_CR_2013.pdf